     xj
xi         1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17     18     19     20     21     22     23     24     25     26     27     28     29     30     31     32     33     34     35     36     37     38     39     40     41     42     43     44     45     46     47     48     49     50     51     52     53     54     55     56     57     58     59     60     61     62     63     64     65     66     67     68     69     70     71     72     73     74     75     76     77     78     79     80     81     82     83     84     85     86     87     88     89     90     91     92     93     94     95     96     97     98     99    100
  11       0      0   2991   4622   4956   4890   5217   5481   5502   5492   5193   4788   4755   3590   2787   2264   1842   1398   1128    925    768    653    563    481    422    417    391    323    254    203    199    226    211    224    224    161    144    131    126     83     62    114    131    118    117     33     41     31     98    138     27     22     14     14     17    117     24     21     24     60     44     12      6     11     29     78     14      9     11     10     11      8      6      8     46     22     15     13      7      0      0      6      0      0     18      0      8      0      0      0      0      6      0      6      0      0      8      0      0      0
  12       0      0   2076   3556   3696   3843   3899   4127   4133   4063   4137   4109   4629   3737   2904   2370   2023   1550   1181   1004    832    731    604    534    467    443    435    333    240    209    215    260    208    225    215    184    137    151    111     81     74    127    148    129    120     37     42     38     81    126     25     24     27     24     15    131     38     31     26     67     31     13     14     14     23     74      6      6      6     25     14      6      6      0     42     21     12      9      6      6      0      0      6      0     10      6     11      0      0      0      0      0      6      0      0      6      6      0      0      0
  13       0      0   1694   2809   3140   3329   3465   3770   3771   3756   3653   3862   4545   4135   3291   2807   2437   1980   1485   1264   1038    856    763    677    580    535    508    401    303    278    278    310    254    338    263    235    206    212    141    101     67    176    206    151    130     55     41     33    103    176     37     43     25     23     28    172     41     32     36     96     46     13     11     16     31     93      0     15     12     21     13      0      8      6     64     28     23     19     11      6      6      0      0      6     20      6     15      0      0      0      0      6      6      0      0      0      7      0      0      0
  14       0      0   1036   1965   2329   2330   2453   2745   2617   2650   2702   2824   3339   3425   3044   2608   2398   1982   1592   1282   1101    862    788    659    603    578    513    425    310    292    273    285    271    324    264    256    196    178    140     78     82    157    200    172    160     60     37     48    125    160     33     37     35     26     27    165     46     26     18     90     40     14     10     17     29     98      8     12      8     16     13     14      9      6     53     30     34     27      7      0      0      0      0      6     26      7     14      0      0      0      0      0      0      0      6      0      6      0      0      0
  15       0      0    679   1274   1570   1648   1877   2057   2045   2000   1993   2157   2570   2526   2422   2349   2262   1885   1618   1315   1042    885    777    671    552    588    511    407    285    291    233    295    266    304    294    219    212    193    159    109     79    158    170    169    125     55     50     54    127    192     50     44     33     30     35    144     38     23     27     77     46     16     20     17     35     92     11      6      6     19     14      6      8      9     52     26     22     21      7      0      0      0      0      0     19      0     19      0      0      0      0      6      7      0      0      0      7      0      0      0
  16       0      0    518    953   1196   1262   1391   1620   1554   1591   1595   1613   2076   2015   1964   1994   2056   1805   1559   1372   1186    951    777    708    598    593    560    418    323    312    267    313    275    282    245    231    207    206    110    108    107    151    212    167    159     57     56     44    116    195     39     32     35     27     28    180     32     37     19     86     48     13     15     22     23     96     10      8      7     25      8      9     10      8     49     28     17     20     14      6      0      0      6      0     20      6     19      0      0      0      0      0      6      0      0      0     10      0      0      0
  17       0      0    402    741    909   1132   1178   1345   1334   1319   1363   1421   1792   1805   1802   1828   1962   1865   1571   1365   1210   1042    847    773    644    670    612    412    343    317    317    374    318    306    276    252    215    189    144     98    105    194    232    178    172     54     49     49    109    188     45     49     39     30     26    214     52     53     41    105     62     14     20     18     24    110     16      8      7     25     14      6      7     12     61     24     22     14     12      6      0      0      0      6     34      6     16      0      6      0      0      0      0      0      0      0      7      0      0      0
  18       0      0    294    516    710    822    919    973    999   1004   1064   1162   1373   1312   1335   1442   1609   1489   1488   1372   1163   1034    848    819    678    648    612    490    382    315    320    338    298    322    271    225    219    176    150    110     92    166    214    145    156     44     55     46    111    196     35     43     37     35     30    207     47     42     34    112     60     10     20     17     22    115     12      9      6     28     15      9      9     14     62     21     26     15      6      0      0      0      0      0     30      0      9      0      0      0      6      6      6      0      0      0      0      0      0      0
  19       0      0    193    394    566    626    693    850    777    770    829    842   1075   1050   1093   1192   1299   1252   1184   1254   1064    939    834    760    604    660    573    491    341    277    318    376    302    357    297    233    221    211    157     90     98    161    238    195    146     45     38     41    123    198     55     41     29     34     28    213     48     45     33     95     55     22     16     17     21    103     14     12     18     31      8      6     13      9     55     27     24     24     10      0      6      0      0      0     26      6     13      0      0      0      0      0      6      6      0      0     10      0      0      0
  20       0      0    162    308    419    506    567    627    667    646    669    754    914    934    962    950   1036   1000   1045    999    932    870    825    717    630    679    604    459    347    345    308    361    342    349    298    238    226    183    149    110     93    174    189    173    181     41     59     51    119    210     25     41     43     35     39    203     53     35     34    110     49     16     17     20     34    106      8      9     12     29     13      9      6      7     80     25     27     15     16      6      0      7      0      0     27      7      8      6      0      0      0      0      9      0      0      0      0      0      0      0
  21       0      0     97    241    305    402    426    547    535    522    537    589    736    748    705    754    903    859    901    862    807    783    744    748    605    649    607    462    341    328    286    371    302    308    283    247    209    201    161     95     96    165    219    200    144     65     45     55    132    211     39     50     21     35     24    191     50     39     26     95     51     10     18     12     27    110      6     13      9     21      6     13      6     11     60     27     32     13      9      0      0      0      0      0     26      7      9      0      0      6      0      6      6      0      0      0      6      0      0      0
  22       0      0     89    169    224    318    359    474    418    438    437    480    606    593    609    589    706    721    686    707    711    681    700    620    558    612    585    469    315    312    327    359    304    308    277    235    202    216    157     95     89    177    245    163    156     51     47     41    108    212     35     45     40     31     38    191     42     35     33    102     58     13     19     18     31     90     10     10      8     15     15      9     13     10     60     19     26     19      8      6      6      6      6      0     18      6     11      0      0      0      0      0      0      0      0      0      6      0      0      0
  23       0      0     67    139    201    247    309    388    366    368    417    410    502    502    533    587    643    602    631    624    614    601    584    604    516    658    578    489    349    303    318    377    295    362    323    238    223    219    150    111    101    188    208    173    157     58     51     47    131    185     39     40     35     32     32    210     38     33     27     98     48     18     13     20     29    118     10      8     15     23     18     10      8     15     74     25     27     27     14      6      0      0      6      6     25      0     19      0      0      0      6      6      0      0      0      0      7      0      0      0
  24       0      0     56    100    208    226    250    300    323    333    337    358    435    453    462    468    549    488    504    548    580    525    518    529    526    571    571    458    354    295    328    320    329    373    285    227    209    173    138     91    110    166    206    168    141     53     23     50    138    180     34     41     46     27     34    207     44     33     36     91     63     20     12     23     32    105     16      8     11     23     13      7      9      6     60     28     13     23     11      7      0      6      0      6     22      7     14      0      0      0      0      0      0      0      6      0      6      0      0      0
  25       0      0     44    101    153    185    234    279    245    263    270    285    359    393    368    407    463    443    452    459    413    490    484    457    447    517    464    450    342    289    325    361    263    349    284    259    192    216    132    102    104    186    194    157    169     42     39     49    138    211     31     37     37     32     19    202     53     52     24    113     57     26     17     17     33     94     10      9     12     18     25     10      8      6     55     30     19     21      8      0      6      0      0      0     14      7      8      0      0      0      0      6      0      0      0      0     10      0      0      0
  26       0      0     38     70    155    191    221    257    282    258    290    277    381    419    377    394    460    428    416    459    468    464    486    456    428    493    532    486    370    345    341    368    352    429    334    290    260    234    166     99    111    204    240    175    187     65     66     56    120    222     49     42     26     33     41    228     48     38     29    101     50     17     24     28     45    109     18     15     16     38     23     11      9     15     75     34     25     24     15      0      0      8      0      6     29      6     14      0      0      0      0      6      6      0      6      0     11      0      0      0
  27       0      0     49     74    110    148    175    216    255    228    251    268    324    349    309    356    404    415    412    393    421    434    440    422    434    462    514    429    352    354    344    404    372    386    353    292    284    230    189    122    111    188    239    179    190     55     55     64    128    242     55     49     45     47     37    293     51     48     33     96     69     19     18     25     37    133     14      6     12     26     25     13      9     10     59     33     23     27      9      6      0      6      0      0     35      6     16      6      0      0      0      0      6      6      0      0     11      0      0      0
  28       0      0     27     52     87    117    149    166    160    161    203    181    271    292    229    269    313    317    351    329    308    320    313    341    334    387    425    383    284    286    303    380    326    355    318    257    197    190    190    127     85    164    221    194    150     59     44     46    124    214     41     59     30     39     39    225     39     48     38    112     64     17     20     20     43    133     11     15     12     33     14     13      8     11     66     32     28     22     13      6      6      6      6      6     17      8     18      0      0      0      0      6      0      0      0      0      6      0      0      0
  29       0      0     26     36     65     86    106    108    139    124    149    141    174    182    193    212    231    220    206    241    240    252    206    257    282    299    297    272    234    251    203    272    287    259    256    209    175    156    127     95     83    133    170    151    147     48     51     46    104    183     35     46     30     29     29    189     33     27     22     98     57      8     17     15     27     98      6      7     11     37     23     13      6      8     61     23     26     16     11      0      0      6      0      0     15      8     12      0      0      0      0      0      0      0      6      0      7      0      0      0
  30       0      0     13     37     61     74     81     93    102    105    114    135    144    154    172    162    198    178    208    188    222    210    213    232    232    290    304    244    197    198    218    287    245    280    231    212    190    172    109    103     85    155    196    160    128     47     32     34    125    179     30     28     28     36     17    183     40     35     24     90     55     13     15     18     23    116      7      6      6     18     18      7      9     10     58     23     26     20     10      0      0      6      6      6     17      7     14      0      0      0      0      6      6      0      0      0     11      0      0      0
  31       0      0     11     24     49     49     83     96    108    104    104    116    170    153    147    181    171    185    195    187    193    206    212    222    225    233    262    266    203    185    210    270    227    288    259    210    200    170    126     90     86    143    213    167    135     53     55     45    116    170     48     38     32     29     24    179     33     25     21    108     50     20     18     26     34    117     10     12      8     19     20     10     12      9     62     34     21     31     14      6      6      6      0      6     23      6      8      0      0      6      0      6      6      6      0      0      6      0      0      0
  32       0      0     13     24     48     60     83     78    102    102    115    128    176    171    167    173    219    222    227    238    243    232    237    259    259    302    297    293    230    246    251    307    296    351    328    277    254    230    180    108    108    183    246    222    180     65     40     59    163    226     48     55     34     43     36    230     52     37     38     92     80     18     19     20     44    138     12     10     14     35     17      6     18     15     77     31     25     19     13      8      6      6      6      0     26      6     21      0      0      0      6      6      6      0      0      0     11      0      0      0
  33       0      0     12     23     43     56     65     85     90    106     94    122    142    147    170    152    189    185    183    185    205    162    229    216    190    265    280    216    204    196    215    283    282    322    277    250    212    216    173    100    112    210    245    219    193     64     53     55    138    233     42     51     41     44     40    242     56     45     43    125     63     13     25     21     48    133     15     14     11     27     23     11     18     10     86     35     32     25     20      0      6      0      6      6     24      9     13      0      0      0      6      6      8      0      0      0      6      0      0      0
  34       0      0     15     19     39     51     84     83     93     97     99    112    173    155    148    166    193    196    207    198    194    221    233    237    218    245    318    274    244    236    209    315    320    339    339    295    273    264    218    153    120    202    278    221    191     67     64     69    183    275     58     66     53     42     35    293     65     49     39    148     78     28     31     32     42    144     12     10     14     39     21     16     10      9     97     53     30     22     22      6      6      0      7      6     27      8     12      0      0      0      6      6      6      0      0      0      9      0      0      0
  35       0      0      6     15     39     49     61     68     84     83    100     97    116    126     99    114    157    143    167    157    173    157    197    158    173    232    262    246    186    195    216    249    270    319    316    272    242    269    187    123    130    207    287    216    204     63     66     55    169    296     54     62     45     41     39    282     60     49     53    142     79     24     28     21     54    148     15     16     27     34     21      9     16      9     85     39     35     26     13      6      0      0      6      6     26      9     12      6      0      0      0      6      6      6      0      6     12      0      0      0
  36       0      0      7      9     35     24     32     46     65     61     62     72    101     81    104     95    115    116    116    116    176    145    164    147    173    193    211    194    140    150    164    205    232    250    246    233    239    191    158    114    101    197    254    171    173     72     50     72    147    214     51     53     36     39     45    281     44     55     32    121     68     20     24     21     37    147     16     20     15     29     25     10     10     15     85     37     33     26     19      6      0      0      7      0     25      7     14      0      0      0      0      6      6      0      0      0      9      0      0      0
  37       0      0      0      7     24     28     32     34     58     69     66     74     99     95     66     87    114    118    130     86    100    121    132    137    111    163    174    172    143    123    144    190    195    240    226    201    218    182    151    104     85    196    237    205    218     76     68     52    161    217     36     53     34     39     35    244     62     51     34    148     66     15     15     24     44    135     14     11      7     35     16     10     15     13     95     31     43     21     14      7      6      0      0      6     35      9     22      0      6      0      0      7      6      6      6      6      7      0      0      0
  38       0      0      0     11     14     24     27     43     44     53     72     60     71     82     83     66    104     89     97    100    111    116    110    149    128    141    152    130    124    114    139    180    178    215    224    235    196    199    157    116     91    175    247    207    190     73     61     57    142    244     53     51     55     43     40    240     62     50     29    135     70     19     25     33     49    114     15     14     17     32     25     15      7     14     86     35     34     26     14      6      8      8      6      9     30     14     15      6      0      6      6      7      6      0      0      6      6      0      0      0
  39       0      0      6      0     16     12     23     27     21     34     27     40     51     52     66     40     51     67     79     83     81     78    101     70     85    119     97     98     96     93    112    155    121    148    143    147    138    143    129     85     68    138    194    149    153     55     48     51    111    184     34     38     34     28     28    217     37     39     23     87     51     21     25     24     27    113     15     11     10     20     19     10      7     13     62     28     24     19     13      0      8      0      7      6     17      8     14      0      0      6      0      0      0      0      0      0      6      0      0      0
  40       0      0      0      6     12     11      9     16     15     29     30     22     31     30     44     41     40     48     56     46     44     43     41     62     45     82     73     77     64     61     74     87     96    109    113     98    106     96     90     54     57    103    172    122    112     40     38     38     78    109     38     36     27     16     28    157     33     34     26     70     55     10      9     16     20     87      6     12     17     25     16     10     10      6     46     16     24     17      6      0      0      0      0      0     16      6     10      0      0      0      0      6      6      0      0      0      6      0      0      0
  41       0      0      0      0      6     15     12     10     14     24     16     32     32     28     21     45     41     33     45     46     43     50     53     54     65     68     71     61     56     53     66     80     87    119     97    105     80     71     70     47     51     74    126    107    108     24     40     33     77    148     26     23     23     27     30    149     23     25     17     69     51      9      8     17     24     85      8      9      7     24     12      8      6     10     44     24     16     12      8      0      6      6      0      0     17      6     13      6      0      0      0      6      6      0      0      0      0      0      0      0
  42       0      0      0      6     11     16     19     24     18     36     40     44     54     58     56     53     63     80     71     67     88     86     96     87    108    126    122    119    100    117    109    150    139    166    184    161    175    187    136    109     87    169    239    197    197     48     69     56    178    260     58     55     51     32     44    254     52     65     31    152     84     33     32     36     48    175     10     15     25     33     27     14     16     14     95     43     38     27     20      6      0      0      6      0     29      9     20      6      0      6      0      6      9      6      6      0     12      0      0      0
  43       0      0      0      6      9     17     25     26     28     39     43     46     59     58     57     69     84     77    105    100     90     91    113    116    108    134    152    133    116    125    144    171    170    215    245    203    203    201    165    112    120    219    281    268    273     91    103     76    246    339     82     62     49     58     51    367     81     71     60    163    100     17     37     38     51    212     25     16     27     50     34      9     14     16    152     44     40     40     18      6      8     12      6     14     50     10     18      0      0      6      0      9      8      0      0      0     13      0      0      0
  44       0      0      0     10     10     11     14     25     23     18     34     37     52     59     60     51     54     51     75     81     56     77     71     86     78    100    111    118     79     87    107    136    135    176    136    160    171    164    151    102    113    213    259    236    215     78     72     66    177    305     72     65     60     45     48    331     60     61     45    171     76     23     20     38     56    196     22     23     21     60     19     16     16     21    134     61     52     41     25      9      8      6      6      6     46     16     23      0      0      0      0      8      7      0      0      6     12      0      0      0
  45       0      0      0      0      7      9     13     14     16     24     29     28     33     47     42     49     45     37     65     58     62     61     70     76     82     78     95     98     86     87    103    118    111    140    162    124    133    136    122     95     98    180    229    216    219     77     73     77    206    307     62     58     47     40     47    348     84     67     52    172     83     22     20     38     56    202     18     15     13     47     29      8     14     17    116     61     56     30     22      6      6      7      6      6     47     11     25      0      9      0      6      6      7      6      0      6     11      0      0      0
  46       0      0      0      0      0      0      6      9      6      9      9     11     15     14     16     13     23      8     20     22     22     22     18     20     25     29     36     35     29     19     23     39     37     42     47     55     45     54     34     24     22     64     87     80     59     17     22     28     65     94     16     19     13     14     15    102     20     13     14     60     44      6      9     10     15     54      0      9      0     19      6      6      0      6     46     19     22     12     10      6      0      0      0      0     17      0      9      0      0      0      0      0      6      0      0      0      6      0      0      0
  47       0      0      0      0      6      0      0      6      6      9     13     14     13     11     12     11     16     19     17      9     19     19     28      9     24     18     23     25     23     33     19     39     41     45     44     42     39     47     37     25     33     55     83     57     79     27     16     28     66     92     15     20     16     16     19    114     27     18     16     49     33     11      7     12     14     71      9      6      0     19     12      0      6      6     39     18     15     13      6      0      0      0      0      0     14      0     14      0      0      0      0      0      0      0      0      0      0      0      0      0
  48       0      0      0      0      0      6      0      0      6      6      7      8     16     16     12     10     17     15     25     24     23     26     25     19     18     30     24     18     20     26     23     32     38     44     42     33     35     39     36     26     33     54     77     65     81     28     20     28     61     85     18     23     13     17     24     94     27     26      7     45     23     11     12     11     18     54      7      8      6     15      7      0      6      0     34     14     11     10     10      0      6      0      0      0     16      7      6      0      0      0      6      0      6      0      0      0      7      0      0      0
  49       0      0      0      6      0      6     15      7     13     18     16     20     17     26     30     29     31     37     39     42     45     49     40     43     39     63     70     63     53     59     68     77     71    112     99     79     99    116    110     66     73    122    173    185    191     64     59     63    163    276     56     54     46     44     48    283     51     64     50    160    107     33     38     22     53    165     22     24     19     41     26     10     10     14     97     51     43     38     27      6      6      6      6      6     38     12     25      6      0      0      0      8     10      6      7      0     10      0      0      0
  50       0      0      0      6      7      6     13     15     15     16     32     37     35     37     35     57     52     58     65     59     59     68     64     79     78     79    104     78     83     95     99    136    134    190    152    154    178    199    147    110    102    205    278    257    259     82    103     95    255    431     99    100     96     89     83    507    108     87     79    251    150     42     51     54    100    296     34     33     27     59     36     34     27     27    203     88     83     61     25     18     19     17      8      6     56     24     53      6     10      0      0     17     15      9      6      0     27      0      0      0
  51       0      0      0      0      0      0      0      0      0      0      6      0      6     12      8      6     12     18      7     15     15      9     13      9     22     17     11     21     18     18     18     22     21     28     27     32     44     43     25     22     18     37     77     52     66     21     14     18     45     98     19     24     10     13     20    115     30     25     10     69     30     13     11      8     20     81      6     14      8     13     16      8      8      7     43     18     22     11     11      0      0      6      6      0     17      6      6      0      0      0      0      0      0      0      0      0      6      0      0      0
  52       0      0      0      0      0      0      0      0      0      6      7      6      6      8      8      8      8     13      6     11     20     12     10     15     15     16     15     18     16     17     21     25     18     46     21     39     29     42     33     22     19     44     52     49     66     21     27     22     49     86     22     23     19     16     13    109     19     10     15     64     38     11     16      6      9     65     10     10      6     22     10      6      9     14     48     15     17     15      8      0      0      6      0      0     19      6     15      0      0      0      0      6      8      0      0      0      0      0      0      0
  53       0      0      0      0      0      0      0      0      0      0      0      6      6      0      0      6      8      6      7     12     12     14     12     13     13     13      9     18     12     11     20     13     18     27     25     18     24     22     25     20     19     25     46     47     55     15     13      9     42     77     22     10     17     24     17     93     29     16     10     50     35     10     13      9     15     56      8      6      7     14      6      8      6      6     45     14     11      9      7      0      0      6      0      0     19      7      7      0      0      0      0      0      6      0      0      0      0      0      0      0
  54       0      0      0      0      0      0      0      6      6      7      6      0      6      6      6      6     12     11      9      9     13      0     10     19     13     14     13     11     15     15     11     19     26     20     31     21     20     24     17     14     14     29     56     42     41     22     11     24     51     76     17     19     18     12     13     78     30     19     19     51     31     10     12      9     14     52      7      0      6     13      6      6      6      6     27     18     17     12      8      7      0      0      0      0     20      6      9      0      6      0      0      6      6      0      0      0      6      0      0      0
  55       0      0      0      0      0      0      0      0      0      6      0      0      6      6      6      7      6     14      6      7     14      6      9     11      8      9     13     10      7     14     18     13     18     23     29     19     23     29     17     15     12     30     40     45     45     19     16     17     46     72     14     20     20     11     14     91     19     13     18     58     35      6     10     13     14     48      8     10      6     17      9      8      6      6     31     17     13     15      7      6      6      0      0      0      9      0      8      0      6      0      0      6      0      0      0      0      0      0      0      0
  56       0      0      0      0      6      7      8      7     14     23     17     23     29     28     44     33     48     54     71     57     51     63     57     69     68     77     84     78     62     83     93     91    100    133    132    135    166    157    144    106     91    227    245    245    269     93    112     98    270    458     95    110     87     82     87    616    164    109     83    330    212     66     57     60    125    398     36     42     38     88     50     42     30     40    240    124    120     95     64     21     19     16     15     11    108     23     54     10     11     10     11     29     33     13      7     11     33      0      0      0
  57       0      0      0      0      0      0      0      0      0      6      0      0      0      0      7      6     14     13      7     11     11     10     12     14      7     17     21     15     18     22     17     19     28     30     28     24     27     35     25     13     22     46     54     71     61     22     18     14     46    110     26     19     21     18     19    118     30     28     20     74     43     13     13     18     20     83      8     10      9     15     17      0      6     14     75     31     19     26     12      0      6      0      6      0     31      7     18      6      0      0      0      6      6      0      0      6     10      0      0      0
  58       0      0      0      0      0      0      0      6      0      0      6      0      6      6      8      6      8      7      6      6     16     11     12     13      9      9     14     18     12     13     16     15     20     33     29     25     22     26     25     17     18     35     42     55     47     15     25     16     50     88     20     17     25     16     21     96     34     34     28     53     38     12     13     18     23     68      8      9      9     25      9      6      7      6     53     25     14      8      9      6      6      0      6      7     32      6     16      6      0      0      6      6      6      0      6      6      7      0      0      0
  59       0      0      0      0      0      0      0      0      0      0      0      6      6      0      7      6      6      6      6      9     10     11      9      6     11     11     17     11     11     10     11     15     17     20     15     19     12     19     18     17     14     20     39     38     42     14     20     17     32     64     26     15      9     13     12     96     24     20     18     48     21      9      7     14     22     64      9      6      7     18     13      6      9      6     32     14     26     18      8      6      0      6      6      0     13      6      8      0      0      0      0      0      0      0      0      0      6      0      0      0
  60       0      0      0      0      0      0      0      6      6      9      7      8     12     11     18     11     24     14     15     23     20     18     22     30     24     28     36     29     32     28     40     56     50     67     72     62     61     63     51     40     47     89    140    106    125     42     47     45    117    249     46     50     58     51     42    323     72     63     60    193    114     31     21     42     64    237     27     26     24     66     39     23     16     20    161     65     73     53     32     15      9      8     13     11     76     22     35      0      7      7     12     10     18      6      6      0     17      0      0      0
  61       0      0      0      0      0      0      0      0      0      6      0      6      6      6      8      6      6      7      8     12     12     14     12     13     15     17     15     20     14     14     17     23     29     28     23     38     24     35     23     23     27     37     71     64     69     28     23     31     71    107     31     38     23     24     22    210     44     28     30    133     63     18     17     29     39    145     10     17     17     28     25     17     10     14    107     51     31     36     19     10      6      6      0      7     50     15     25      6      6      6      0     10     12      6      6      6     13      0      0      0
  62       0      0      0      0      0      0      0      0      0      0      0      0      6      0      0      0      0      0      6      6      0      6      6      6      0      6      6      6      8      6      6      6      6      8     11     14     18      7     13      0     11     19     22     21     25      6      8      6     19     43      6      9      6      7      6     51     14     11     12     42     33      6      0      8      9     47      0      6      0     12      6      0      0      6     26     19     14     12      9      0      0      0      0      0     21      8      8      6      0      0      0      0      0      0      0      0      6      0      0      0
  63       0      0      0      0      0      0      0      0      0      0      0      0      0      0      6      0      0      0      0      0      6      0      0      6      0      6      7      6      0      0      0      6      6     11     13      8     10     14      9      8      6      8     18     18     20      7     12      6     22     37      7      6     11     11      9     45     16     13     16     38     25      9     10      8     11     33      7      6      0     12      7      6      7      0     24     15     11     12      6      0      0      0      6      0     14      6     15      0      0      0      0      7      0      0      0      0      7      0      0      0
