     xj
xi         1      2      3      4      5      6      7      8      9     10     11     12     13     14     15     16     17     18     19     20     21     22     23     24     25     26     27     28     29     30     31     32     33     34     35     36     37     38     39     40     41     42     43     44     45     46     47     48     49     50     51     52     53     54     55     56     57     58     59     60     61     62     63     64     65     66     67     68     69     70     71     72     73     74     75     76     77     78     79     80     81     82     83     84     85     86     87     88     89     90     91     92     93     94     95     96     97     98     99    100
  14       0      0    400    854   1359   1820   2253   2804   3005   3243   3434   3598   4667   4593   3786   2940   2515   1937   1463   1129    858    688    638    485    437    425    362    263    210    202    184    214    197    193    156    153    118    150     84     59     50     87    110     94     92     34     32     19     58     90     19     17     16     14     17    102     13     17     12     35     29     10      8     10     13     41      7      0      6      9      6      6      0      6     21     11     14      7      6      0      0      0      0      0     10      0     10      0      0      0      0      0      0      0      0      0      0      0      0      0
  15       0      0    271    526    872   1232   1606   1955   2142   2294   2377   2783   3453   3453   3393   2988   2502   2053   1571   1219   1005    848    606    530    432    451    394    314    217    224    197    220    191    220    209    148    145    105     95     66     46    100    113    107    103     28     26     27     73    105     16     22     13     24     11     99     22     12     11     45     30      6      8     10      9     41      6      0      6     18      8      0      0      0     27      7     16      0      6      0      0      0      0      0     12      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  16       0      0    194    350    608    864   1132   1540   1595   1701   1868   1985   2683   2803   2741   2930   2626   2068   1608   1399   1069    834    710    527    484    477    404    319    237    220    201    227    197    215    189    150    138    130    104     50     60    138    134    100    102     23     24     28     69     92     21     18     18     13     16    112     27     14      9     45     31      6      8      7     10     40      6      0      9      9      0      0      0      6     18     13      6      0      0      0      0      0      0      0     11      0      6      0      0      0      0      0      0      0      0      0      0      0      0      0
  17       0      0    132    311    465    718    866   1213   1289   1418   1518   1709   2311   2330   2448   2540   2772   2425   1887   1565   1301   1049    820    709    568    594    454    418    271    222    227    269    237    280    208    181    140    113    109     73     61    122    147    118    112     35     27     30     71     98     24     31     17     11     15    109     36     18     12     58     29     12     18      6     22     50      6      6      6     12      6      7      6      7     40      9     16      6      0      0      0      0      0      0      6      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  18       0      0     91    201    304    503    650    822    972   1032   1079   1258   1703   1800   1783   1939   2128   2141   1823   1555   1268   1047    915    686    631    603    521    394    291    246    219    250    232    222    200    168    157    133     87     81     72    122    144     99    138     33     34     31     86    113     19     17     19     26     15    122     23     15     11     54     26     11      7     14     23     59      6      6      0     10      6      0      7      7     28      6     11      7      0      0      0      0      0      0     10      6      6      0      0      0      0      6      0      0      0      0      0      0      0      0
  19       0      0     57    114    223    344    446    623    720    793    898   1005   1270   1394   1504   1491   1681   1718   1796   1564   1289   1127    879    691    621    609    493    401    290    249    264    285    230    250    237    188    149    147    105     72     75    121    133    121     91     41     27     32     73    114     27     27     17     19     13    115     29     23     12     53     30      6      7     11     17     60      6      0      0      9     11      0      6      6     34     12     13      6      6      0      0      0      0      0      8      0      6      0      0      0      0      0      0      0      0      0      6      0      0      0
  20       0      0     36     94    174    285    339    457    534    642    666    734   1093   1082   1113   1194   1385   1465   1423   1462   1319   1090    943    769    666    637    587    468    301    303    241    277    249    251    215    169    156    154    110     76     65    126    143    107    102     38     23     36     90    140     27     32     25     24     19    126     19     32     14     54     36     10      8      6     22     62      6      6      7     15      7      0      6      6     22     18      9      6      6      0      0      0      0      0      6      0      6      0      0      0      0      0      0      0      0      0      0      0      0      0
  21       0      0     34     77    133    207    279    383    435    491    516    583    819    882    929    946   1132   1132   1265   1179   1195   1096    986    788    637    620    568    469    306    296    276    293    284    250    221    196    163    159     94     63     69    120    184    119    120     39     33     29     89    115     32     22     16     18     23    119     21     24     18     47     25      8      6      8     16     53      6      7      6     16      6      6      6      7     38     12     13      8      6      0      0      0      0      0      0      0      6      0      0      0      0      0      0      0      0      0      0      0      0      0
  22       0      0     25     70     85    129    214    291    318    377    391    464    643    674    701    751    947    918    996   1037    972    984    978    848    713    674    613    486    318    309    297    295    266    233    253    199    174    171    108     87     74    129    153    123    110     35     37     32     92    125     23     25     23     16     22    127     25     28     23     56     28      8     14     18     16     51      6      6      6     13      6      0      8      6     30     11     15      6      6      0      0      0      0      0      6      0      0      0      0      0      0      0      0      0      0      0      0      0      0      0
  23       0      0     14     46     71    113    169    235    277    329    321    399    489    603    594    672    746    783    853    864    908    818    869    812    738    723    689    485    324    331    298    320    299    284    220    193    159    164    108     78     64    136    158    130    112     30     34     33    108    143     24     29     19     15     27    116     31     21     10     69     27     10     11     15     18     53      0      0      8     12      9      6      0      6     38      8     10      7      0      0      0      0      0      0      9      6      6      0      0      0      0      0      6      0      0      0      0      0      0      0
